Language	Chapter	Number	Text
GER	10044	90	"Berichterstattung"
SPA	10044	90	"Reporting"
XXX	10044	90	"A46EC49EAE0ACC7AA06AD20CB578A921F962A41A"
BRI	10044	91	"Locale"
ENG	10044	91	"Locale"
FRA	10044	91	"Paramètres régionaux"
GER	10044	91	"Sprache"
SPA	10044	91	"Parámetros regionales"
XXX	10044	91	"A159FC0A3D68C77E627F835499765ECAB89C8798"
BRI	10044	92	"de-DE - Deutsch (Deutschland)"
ENG	10044	92	"de-DE - Deutsch (Deutschland)"
FRA	10044	92	"fra-FRA (France)"
POR	10044	92	"fra-FRA (França)"
SPA	10044	92	"spa-SPA (España)"
XXX	10044	92	"E8A8A71FAA11DD4A016E2D12D1CAB1D2A5D9861E"
BRI	10044	93	"Locale"
ENG	10044	93	"Locale"
FRA	10044	93	"Paramètres régionaux"
GER	10044	93	"Sprache"
SPA	10044	93	"Parámetros regionales"
XXX	10044	93	"E4D6F7915E5F585A53D6CCE3189E95FE4E386B3B"
BRI	10044	94	"0.0.0"
ENG	10044	94	"0.0.0"
FRA	10044	94	"0.0.0"
GER	10044	94	"0.0.0"
SPA	10044	94	"0.0.0"
XXX	10044	94	"5EADFD4170D164F8DD9924A4F65DB9ABCBBA68BE"
BRI	10044	95	"Update Add-in"
ENG	10044	95	"Update Add-in"
FRA	10044	95	"Mettre à jour l'Add-in"
GER	10044	95	"Aktualisiere Add-In"
POR	10044	95	"Atualizar Add-in"
SPA	10044	95	"Actualizar el Add-in"
XXX	10044	95	"0AB07A79CB9D87EB7680C24D5438AF635C1581F8"
BRI	10044	96	"Version"
ENG	10044	96	"Version"
FRA	10044	96	"Version"
GER	10044	96	"Version"
POR	10044	96	"Versão"
SPA	10044	96	"Versión"
XXX	10044	96	"2658EF1E8E0F41D8027E1A5311415BB757150718"
BRI	10044	97	"Cleanup Template Metadata"
ENG	10044	97	"Cleanup template metadata"
FRA	10044	97	"Nettoyer les méta-données du modèle"
GER	10044	97	"Bereinige Vorlagen-Metadaten"
POR	10044	97	"Limpar o modelo de metadados"
SPA	10044	97	"Limpiar los metadatos del modelo"
XXX	10044	97	"641AAE95A15016937FB861E48C87970E4557F9AB"
BRI	10044	98	"Advanced"
ENG	10044	98	"Advanced"
FRA	10044	98	"Avancé"
GER	10044	98	"Erweitert"
POR	10044	98	"Avançado"
SPA	10044	98	"Avanzado"
XXX	10044	98	"777645F1E615944EFD70B332D855CDD054D179BA"
BRI	10044	99	"Sage ERP X3"
ENG	10044	99	"Sage ERP X3"
FRA	10044	99	"Sage ERP X3"
GER	10044	99	"Sage ERP X3"
SPA	10044	99	"Sage ERP X3"
XXX	10044	99	"AB8B50318D252D98814438F37DFFC11067A148DF"
BRI	10044	100	"Server location:"
ENG	10044	100	"Server location:"
FRA	10044	100	"Emplacement serveur :"
GER	10044	100	"Server-URL:"
POR	10044	100	"Localização servidor:"
SPA	10044	100	"Ubicación servidor:"
XXX	10044	100	"187C72C3C86219B62F1D2BB5A7DD89A0A3D87BD6"
BRI	10044	101	"Cancel"
ENG	10044	101	"Cancel"
FRA	10044	101	"Annuler"
GER	10044	101	"Abbrechen"
POR	10044	101	"Anular"
SPA	10044	101	"Cancelar"
XXX	10044	101	"F0EF43C1A75A6E43643101816BEB5554E0684AD5"
BRI	10044	102	"Please enter the server URL in the form http(s)://servername:port."
ENG	10044	102	"Enter the server URL as http(s)://servername:port."
FRA	10044	102	"Veuillez saisir l'URL du serveur sous la forme http(s)://nomserveur:port."
GER	10044	102	"Bitte geben Sie die Server-URL in der Form http(s)://servername:port ein."
POR	10044	102	"Deve registar o URL sob a forma http(s)://servername:port."
SPA	10044	102	"Introduzca la URL del servidor con el formato http(s)://nombreserver:port."
XXX	10044	102	"56C9FA91F68F20FB06B268DA6951779B68345BFB"
BRI	10044	103	"http://localhost:8124"
ENG	10044	103	"http://localhost:8124"
FRA	10044	103	"http://localhost:8124"
GER	10044	103	"http://localhost:8124"
SPA	10044	103	"http://localhost:8124"
XXX	10044	103	"2A10B23F638EFC9B4E851DE6D1DE21F6AFE35802"
BRI	10044	104	"Ok"
ENG	10044	104	"OK"
FRA	10044	104	"OK"
GER	10044	104	"Ok"
POR	10044	104	"OK"
SPA	10044	104	"OK"
XXX	10044	104	"FE4D60D092FA2ADF1B05ADB5C9D57B6D9BD5BC8E"
BRI	10044	105	"Sage ERP X3 - Server settings"
ENG	10044	105	"Sage ERP X3 - Server settings"
FRA	10044	105	"Sage ERP X3 - Paramétrage serveur"
GER	10044	105	"Sage ERP X3 - Server Einstellungen"
POR	10044	105	"Sage ERP X3 - Configurações servidor"
SPA	10044	105	"Sage ERP X3 - Parametrización servidor"
XXX	10044	105	"EB18E76EC736AE9A1F5DACE630DF40BF34C7872B"
BRI	10044	106	"If you do not know this information, please contact your system administrator."
ENG	10044	106	"If you do not know this information, contact your system administrator."
FRA	10044	106	"Si vous ne connaissez pas ces informations, veuillez contacter votre administrateur système."
GER	10044	106	"Falls Ihnen diese Informationen nicht bekannt sind fragen Sie bitte Ihren Systemadministrator."
POR	10044	106	"Se não conhecer esta informação, deve contactar o administrador de sistemas."
SPA	10044	106	"Si no conoce esta información, contacte con su administrador de sistema."
XXX	10044	106	"5E251674A93DE99B9A7A592596264B9459C00825"
